trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|RETL|15m|1778164200000|1778487300000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-07 10:30,1778164200000,8.26,Flip Short,2026-05-11 04:15,1778487300000,8.54,1207,9969.82,55,317.68,3.1833,327.99,3.2865,191.02,1.9141,20.28,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1780065000000|1780566300000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-29 10:30,1780065000000,8.03,Flip Short,2026-06-04 05:45,1780566300000,8.04,1275,10238.25,115,-7.74,-0.0755,193.76,1.8906,507.49,4.9518,20.49,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1780671600000|1780671600000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-05 11:00,1780671600000,7.82,Margin call,2026-06-05 11:00,1780671600000,7.82,1,7.82,0,-0.02,-0.1998,0,0,0.01,0.0999,0.02,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1780671600000|1780928100000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-05 11:00,1780671600000,7.82,Flip Short,2026-06-08 10:15,1780928100000,8.1,1317,10298.94,32,347.79,3.3736,371.63,3.6048,379.06,3.6769,20.97,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1782215100000|1782308700000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-23 07:45,1782215100000,8.35,Flip Short,2026-06-24 09:45,1782308700000,8.97,1261,10529.35,31,759.98,7.2105,771.29,7.3178,73.58,0.6981,21.84,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1782413100000|1782504900000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-25 14:45,1782413100000,8.85,Flip Short,2026-06-26 16:15,1782504900000,9.39,1284,11363.4,28,669.94,5.8897,694.84,6.1086,11.36,0.0999,23.42,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1782827100000|1782919800000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-30 09:45,1782827100000,8.82,Flip Short,2026-07-01 11:30,1782919800000,9.19,1366,12048.12,37,480.82,3.9868,548.01,4.544,107.67,0.8928,24.6,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1783005300000|1783431900000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-02 11:15,1783005300000,8.89,Flip Short,2026-07-07 09:45,1783431900000,9.08,1412,12552.68,44,242.91,1.9332,495.77,3.9455,181.99,1.4484,25.37,2026-07-25T00:17:44.236Z
flip-only|RETL|15m|1784038500000|1784124000000,flip-only,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-14 10:15,1784038500000,8.72,Flip Short,2026-07-15 10:00,1784124000000,9.43,1459,12722.48,23,1009.41,7.9261,1052.35,8.2633,12.72,0.0999,26.48,2026-07-25T00:17:44.236Z
sl-auto|RETL|15m|1777899600000|1777912200000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-04 09:00,1777899600000,8.63,Stop Loss,2026-05-04 12:30,1777912200000,8.11,1104,9527.52,14,-592.56,-6.2133,111.91,1.1735,583.61,6.1194,18.48,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1778164200000|1778487300000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-07 10:30,1778164200000,8.26,Flip Short,2026-05-11 04:15,1778487300000,8.54,1079,8912.54,55,283.99,3.1833,293.21,3.2865,170.76,1.9141,18.13,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1778507100000|1778592600000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-11 09:45,1778507100000,7.89,Stop Loss,2026-05-12 09:30,1778592600000,7.41,1167,9207.63,45,-578.02,-6.2713,2.46,0.0267,569.37,6.1775,17.86,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1778839200000|1779283800000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-15 06:00,1778839200000,6.95,Stop Loss,2026-05-20 09:30,1779283800000,6.53,1246,8659.7,114,-540.12,-6.2309,228.08,2.6312,531.98,6.137,16.8,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1780065000000|1780566300000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-29 10:30,1780065000000,8.03,Flip Short,2026-06-04 05:45,1780566300000,8.04,1006,8078.18,115,-6.11,-0.0755,152.88,1.8906,400.42,4.9518,16.17,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1780671600000|1780928100000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-05 11:00,1780671600000,7.82,Flip Short,2026-06-08 10:15,1780928100000,8.1,1041,8140.62,32,274.91,3.3736,293.75,3.6048,299.62,3.6769,16.57,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1781547300000|1781719200000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-15 14:15,1781547300000,9.08,Stop Loss,2026-06-17 14:00,1781719200000,8.53,926,8408.08,59,-525.61,-6.245,195.31,2.3206,517.71,6.1511,16.31,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1782215100000|1782308700000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-23 07:45,1782215100000,8.35,Flip Short,2026-06-24 09:45,1782308700000,8.97,935,7807.25,31,563.51,7.2105,571.89,7.3178,54.56,0.6981,16.19,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1782413100000|1782504900000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-25 14:45,1782413100000,8.85,Flip Short,2026-06-26 16:15,1782504900000,9.39,949,8398.65,28,495.15,5.8897,513.55,6.1086,8.4,0.0999,17.31,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1782827100000|1782919800000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-06-30 09:45,1782827100000,8.82,Flip Short,2026-07-01 11:30,1782919800000,9.19,1006,8872.92,37,354.1,3.9868,403.59,4.544,79.29,0.8928,18.12,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1783005300000|1783431900000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-02 11:15,1783005300000,8.89,Flip Short,2026-07-07 09:45,1783431900000,9.08,1038,9227.82,44,178.57,1.9332,364.45,3.9455,133.79,1.4484,18.65,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1783499400000|1783525500000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-08 04:30,1783499400000,8.78,Stop Loss,2026-07-08 11:45,1783525500000,8.25,1084,9517.52,14,-592.98,-6.2242,0,0,584.04,6.1303,18.46,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1784038500000|1784124000000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-14 10:15,1784038500000,8.72,Flip Short,2026-07-15 10:00,1784124000000,9.43,1008,8789.76,23,697.38,7.9261,727.05,8.2633,8.79,0.0999,18.3,2026-07-25T13:40:51.022Z
sl-auto|RETL|15m|1784556900000|1784813400000,sl-auto,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-07-20 10:15,1784556900000,9.45,Stop Loss,2026-07-23 09:30,1784813400000,8.83,1007,9516.15,59,-642.75,-6.7475,101.25,1.063,633.86,6.6542,18.41,2026-07-25T13:40:51.022Z
pyr25|RETL|15m|1777899600000|1778065200000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-04 09:00,1777899600000,8.63,Flip Short,2026-05-06 07:00,1778065200000,8.47,884,7628.92,59,-156.56,-2.0501,89.61,1.1735,520.35,6.8139,15.12,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1777913100000|1778065200000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Pyramid Add,2026-05-04 12:45,1777913100000,8.12,Flip Short,2026-05-06 07:00,1778065200000,8.47,221,1794.52,44,73.68,4.1019,126.39,7.0358,17.26,0.9611,3.67,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1778164200000|1778487300000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-07 10:30,1778164200000,8.26,Flip Short,2026-05-11 04:15,1778487300000,8.54,911,7524.86,55,239.78,3.1833,247.56,3.2865,144.17,1.9141,15.3,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1778507100000|1778751900000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-11 09:45,1778507100000,7.89,Flip Short,2026-05-14 05:45,1778751900000,7.06,979,7724.31,117,-827.21,-10.6984,2.07,0.0267,1094.41,14.1543,14.64,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1778593500000|1778751900000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Pyramid Add,2026-05-12 09:45,1778593500000,7.1,Flip Short,2026-05-14 05:45,1778751900000,7.06,244,1732.4,71,-13.22,-0.7621,64.15,3.6991,79.81,4.6024,3.46,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1778839200000|1779290100000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-15 06:00,1778839200000,6.95,Flip Short,2026-05-20 11:15,1779290100000,7.04,1020,7089,121,77.53,1.0926,186.71,2.6312,466.09,6.5683,14.27,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1779284700000|1779290100000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Pyramid Add,2026-05-20 09:45,1779284700000,6.69,Flip Short,2026-05-20 11:15,1779290100000,7.04,255,1705.95,6,85.75,5.0214,97.74,5.7239,37.41,2.1905,3.5,2026-07-25T13:59:25.021Z
pyr25|RETL|15m|1780065000000|1780566300000,pyr25,RETL,AMEX:RETL,15m,Swing 15m,LONG,Swing Low,2026-05-29 10:30,1780065000000,8.03,Flip Short,2026-06-04 05:45,1780566300000,8.04,891,7154.73,115,-5.41,-0.0755,135.41,1.8906,354.64,4.9518,14.32,2026-07-25T13:59:25.021Z
