trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|AGQ|1d|1573223400000|1582554600000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2019-11-08 09:30,1573223400000,28.57,Flip Short,2020-02-24 09:30,1582554600000,34.62,339,9685.23,71,2029.53,20.9339,2041.26,21.055,484.29,4.9952,21.42,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1651152600000|1664976600000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2022-04-28 09:30,1651152600000,32.58,Flip Short,2022-10-05 09:30,1664976600000,23.57,360,11728.8,110,-3263.81,-27.7995,211.47,1.8012,5418.93,46.1557,20.21,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1676385000000|1680701400000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2023-02-14 09:30,1676385000000,25.7,Flip Short,2023-04-05 09:30,1680701400000,33.22,331,8506.7,35,2469.62,29.0024,2656.04,31.1918,1372.23,16.115,19.5,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1687440600000|1700231400000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2023-06-22 09:30,1687440600000,26.25,Flip Short,2023-11-17 09:30,1700231400000,27.75,418,10972.5,104,604.43,5.5031,2797.99,25.4745,2080.07,18.9382,22.57,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1722000600000|1727271000000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2024-07-26 09:30,1722000600000,33.3,Flip Short,2024-09-25 09:30,1727271000000,42.52,354,11788.2,42,3237.04,27.4326,3620.25,30.6801,1087.95,9.2199,26.84,2026-07-25T00:24:22.406Z
flip-only|MIDU|1d|1600954200000|1602250200000,flip-only,MIDU,AMEX:MIDU,1d,Swing 1D,LONG,Swing Low,2020-09-24 09:30,1600954200000,19.32,Flip Short,2020-10-09 09:30,1602250200000,27.09,514,9930.48,11,3969.93,39.9372,3983.85,40.0773,344.03,3.4609,23.85,2026-07-25T00:25:20.338Z
flip-only|MIDU|1d|1664199000000|1669905000000,flip-only,MIDU,AMEX:MIDU,1d,Swing 1D,LONG,Swing Low,2022-09-26 09:30,1664199000000,28.95,Flip Short,2022-12-01 09:30,1669905000000,43.44,474,13722.3,47,6833.95,49.752,6854.54,49.9019,843.22,6.1388,34.31,2026-07-25T00:25:20.338Z
flip-only|MIDU|1d|1763389800000|1765463400000,flip-only,MIDU,AMEX:MIDU,1d,Swing 1D,LONG,Swing Low,2025-11-17 09:30,1763389800000,46.71,Flip Short,2025-12-11 09:30,1765463400000,53.78,442,20645.82,17,3080.52,14.9059,3263.41,15.7909,1775.39,8.5907,44.42,2026-07-25T00:25:20.338Z
flip-only|MIDU|1d|1773149400000|1776778200000,flip-only,MIDU,AMEX:MIDU,1d,Swing 1D,LONG,Swing Low,2026-03-10 09:30,1773149400000,55.55,Flip Short,2026-04-21 09:30,1776778200000,66.74,427,23719.85,29,4725.91,19.904,4754.41,20.024,3490.96,14.7028,52.22,2026-07-25T00:25:20.338Z
flip-only|MSFT|1d|1600695000000|1611585000000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2020-09-21 09:30,1600695000000,197.19,Flip Short,2021-01-25 09:30,1611585000000,229.12,49,9662.31,86,1543.68,15.9604,1601.46,16.5577,49.35,0.5103,20.89,2026-07-25T00:25:29.265Z
flip-only|MSFT|1d|1633095000000|1634650200000,flip-only,MSFT,NASDAQ:MSFT,1d,Swing 1D,LONG,Swing Low,2021-10-01 09:30,1633095000000,282.12,Flip Short,2021-10-19 09:30,1634650200000,308.35,40,11284.8,12,1025.58,9.0791,1037.92,9.1883,86.08,0.7621,23.62,2026-07-25T00:25:29.265Z
