trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|RETL|3h|1734555600000|1737709200000,flip-only,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2024-12-18 16:00,1734555600000,10.08,Flip Short,2025-01-24 04:00,1737709200000,10.11,990,9979.2,105,9.71,0.0972,663.22,6.6394,1168.28,11.6954,19.99,2026-07-25T00:33:09.224Z
flip-only|RETL|3h|1743418800000|1743624000000,flip-only,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-03-31 07:00,1743418800000,5.8,Flip Short,2025-04-02 16:00,1743624000000,6.71,1712,9929.6,12,1536.5,15.4585,1770.55,17.8132,249.61,2.5113,21.42,2026-07-25T00:33:09.224Z
flip-only|RETL|3h|1749844800000|1751389200000,flip-only,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-06-13 16:00,1749844800000,7.11,Flip Short,2025-07-01 13:00,1751389200000,8.28,1622,11532.42,51,1872.78,16.223,2275.49,19.7115,11.53,0.0999,24.96,2026-07-25T00:33:09.224Z
flip-only|RETL|3h|1754002800000|1755018000000,flip-only,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-07-31 19:00,1754002800000,7.8,Flip Short,2025-08-12 13:00,1755018000000,9.14,1712,13353.6,37,2265.08,16.9454,2434.81,18.2151,800.87,5.9914,29,2026-07-25T00:33:09.224Z
pyr25|RETL|3h|1734555600000|1737709200000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2024-12-18 16:00,1734555600000,10.08,Flip Short,2025-01-24 04:00,1737709200000,10.11,753,7590.24,105,7.39,0.0972,504.45,6.6394,888.6,11.6954,15.2,2026-07-25T14:37:23.088Z
pyr25|RETL|3h|1738584000000|1742835600000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-02-03 07:00,1738584000000,9.38,Flip Short,2025-03-24 13:00,1742835600000,6.56,817,7663.46,170,-2316.96,-30.2037,760.32,9.9114,3267.49,42.5947,13.02,2026-07-25T14:37:23.088Z
pyr25|RETL|3h|1740171600000|1742835600000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Pyramid Add,2025-02-21 16:00,1740171600000,8.16,Flip Short,2025-03-24 13:00,1742835600000,6.56,204,1664.64,106,-329.4,-19.7685,81.98,4.9196,566.74,34.0121,3,2026-07-25T14:37:23.088Z
pyr25|RETL|3h|1743418800000|1743624000000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-03-31 07:00,1743418800000,5.8,Flip Short,2025-04-02 16:00,1743624000000,6.71,957,5550.6,12,858.9,15.4585,989.73,17.8132,139.53,2.5113,11.97,2026-07-25T14:37:23.088Z
pyr25|RETL|3h|1743667200000|1745416800000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Swing Low,2025-04-03 04:00,1743667200000,5.79,Flip Short,2025-04-23 10:00,1745416800000,5.82,1125,6513.75,70,20.69,0.3173,162.24,2.4882,1997.76,30.6393,13.06,2026-07-25T14:37:23.088Z
pyr25|RETL|3h|1743699600000|1745416800000,pyr25,RETL,AMEX:RETL,3h,Swing 3H,LONG,Pyramid Add,2025-04-03 13:00,1743699600000,5.24,Flip Short,2025-04-23 10:00,1745416800000,5.82,281,1472.44,67,159.87,10.8468,195.23,13.2455,344.29,23.3591,3.11,2026-07-25T14:37:23.088Z
