trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|AGQ|1d|1573223400000|1582554600000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2019-11-08 09:30,1573223400000,28.57,Flip Short,2020-02-24 09:30,1582554600000,34.62,339,9685.23,71,2029.53,20.9339,2041.26,21.055,484.29,4.9952,21.42,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1651152600000|1664976600000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2022-04-28 09:30,1651152600000,32.58,Flip Short,2022-10-05 09:30,1664976600000,23.57,360,11728.8,110,-3263.81,-27.7995,211.47,1.8012,5418.93,46.1557,20.21,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1676385000000|1680701400000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2023-02-14 09:30,1676385000000,25.7,Flip Short,2023-04-05 09:30,1680701400000,33.22,331,8506.7,35,2469.62,29.0024,2656.04,31.1918,1372.23,16.115,19.5,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1687440600000|1700231400000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2023-06-22 09:30,1687440600000,26.25,Flip Short,2023-11-17 09:30,1700231400000,27.75,418,10972.5,104,604.43,5.5031,2797.99,25.4745,2080.07,18.9382,22.57,2026-07-25T00:24:22.406Z
flip-only|AGQ|1d|1722000600000|1727271000000,flip-only,AGQ,AMEX:AGQ,1d,Swing 1D,LONG,Swing Low,2024-07-26 09:30,1722000600000,33.3,Flip Short,2024-09-25 09:30,1727271000000,42.52,354,11788.2,42,3237.04,27.4326,3620.25,30.6801,1087.95,9.2199,26.84,2026-07-25T00:24:22.406Z
flip-only|GLD|1d|1555507800000|1559655000000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2019-04-17 09:30,1555507800000,120.46,Flip Short,2019-06-04 09:30,1559655000000,124.88,82,9877.72,32,342.32,3.4621,390.28,3.9472,85.32,0.8629,20.12,2026-07-25T00:24:31.326Z
flip-only|GLD|1d|1573223400000|1577975400000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2019-11-08 09:30,1573223400000,137.73,Flip Short,2020-01-02 09:30,1577975400000,143.86,74,10192.02,36,432.78,4.242,443.43,4.3464,124.15,1.2169,20.84,2026-07-25T00:24:31.326Z
flip-only|GLD|1d|1584365400000|1586871000000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2020-03-16 09:30,1584365400000,137.56,Flip Short,2020-04-14 09:30,1586871000000,162.73,75,10317,20,1865.23,18.0611,1877.43,18.1793,118.32,1.1457,22.52,2026-07-25T00:24:31.326Z
flip-only|GLD|1d|1625059800000|1631021400000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2021-06-30 09:30,1625059800000,164.57,Flip Short,2021-09-07 09:30,1631021400000,169.56,76,12507.32,47,353.85,2.8263,517.97,4.1372,308.15,2.4613,25.39,2026-07-25T00:24:31.326Z
flip-only|GLD|1d|1651584600000|1668177000000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2022-05-03 09:30,1651584600000,173.89,Flip Short,2022-11-11 09:30,1668177000000,163.91,74,12867.86,134,-763.52,-5.9276,262.41,2.0372,1738.55,13.4973,25,2026-07-25T00:24:31.326Z
flip-only|GLD|1d|1687354200000|1697722200000,flip-only,GLD,AMEX:GLD,1d,Swing 1D,LONG,Swing Low,2023-06-21 09:30,1687354200000,179.15,Flip Short,2023-10-19 09:30,1697722200000,181.04,67,12003.05,84,102.5,0.8531,328.36,2.7329,738.95,6.1502,24.13,2026-07-25T00:24:31.326Z
