trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|ASHR|1h|1761908400000|1762441200000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2025-10-31 07:00,1761908400000,33.06,Flip Short,2025-11-06 10:00,1762441200000,33.29,302,9984.12,49,49.42,0.4945,89.68,0.8973,230.44,2.3058,20.04,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1763118000000|1764352800000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2025-11-14 06:00,1763118000000,32.86,Flip Short,2025-11-28 13:00,1764352800000,32.61,304,9989.44,86,-95.9,-0.9591,44.73,0.4473,450.79,4.5082,19.9,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1765825200000|1766754000000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2025-12-15 14:00,1765825200000,32.86,Flip Short,2025-12-26 08:00,1766754000000,33.06,302,9923.72,72,40.49,0.4076,77.66,0.7818,203.2,2.0456,19.91,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1768402800000|1769680800000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-01-14 10:00,1768402800000,33.63,Flip Short,2026-01-29 05:00,1769680800000,34.05,296,9954.48,105,104.29,1.0466,117.33,1.1774,80.99,0.8128,20.03,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1769767200000|1770411600000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-01-30 05:00,1769767200000,33.5,Flip Short,2026-02-06 16:00,1770411600000,33.61,301,10083.5,61,12.91,0.1279,50.12,0.4965,190.68,1.8892,20.2,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1770987600000|1771430400000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-02-13 08:00,1770987600000,33.51,Flip Short,2026-02-18 11:00,1771430400000,34.07,301,10086.51,26,148.22,1.468,167.5,1.659,13.1,0.1297,20.34,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1773838800000|1775062800000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-03-18 09:00,1773838800000,33.3,Flip Short,2026-04-01 13:00,1775062800000,32.85,307,10223.1,111,-158.46,-1.5485,35.83,0.3501,516.77,5.0499,20.31,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1775577600000|1775638800000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-04-07 12:00,1775577600000,32.08,Flip Short,2026-04-08 05:00,1775638800000,33.45,314,10073.12,8,409.6,4.0622,435.81,4.3221,10.07,0.0999,20.58,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1778835600000|1779786000000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-05-15 05:00,1778835600000,35.5,Flip Short,2026-05-26 05:00,1779786000000,36.06,294,10437,66,143.6,1.3745,174.78,1.673,186.84,1.7884,21.04,2026-07-25T00:18:59.927Z
flip-only|ASHR|1h|1782309600000|1784815200000,flip-only,ASHR,AMEX:ASHR,1h,Swing 1H,LONG,Swing Low,2026-06-24 10:00,1782309600000,35.89,Flip Short,2026-07-23 10:00,1784815200000,34.87,296,10623.44,196,-322.86,-3.0361,294.26,2.7671,747.66,7.0308,20.94,2026-07-25T00:18:59.927Z
flip-only|EDC|1h|1763409600000|1764612000000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2025-11-17 15:00,1763409600000,51.73,Flip Short,2025-12-01 13:00,1764612000000,52.07,193,9983.89,75,45.59,0.4561,130.91,1.3099,986.56,9.8717,20.03,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1768939200000|1769090400000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-01-20 15:00,1768939200000,61.94,Flip Short,2026-01-22 09:00,1769090400000,66.44,162,10034.28,12,708.2,7.0508,718.97,7.1579,71.59,0.7128,20.8,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1769796000000|1770415200000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-01-30 13:00,1769796000000,66.95,Flip Short,2026-02-06 17:00,1770415200000,70.7,158,10578.1,51,570.75,5.3902,581.92,5.4957,476.68,4.5018,21.75,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1772445600000|1772445600000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-03-02 05:00,1772445600000,73.95,Margin call,2026-03-02 05:00,1772445600000,73.95,1,73.95,0,-0.15,-0.1998,0,0,0.07,0.0999,0.15,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1772445600000|1773165600000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-03-02 05:00,1772445600000,73.95,Flip Short,2026-03-10 14:00,1773165600000,67.14,152,11240.4,88,-1056.57,-9.3903,318.6,2.8316,2662.12,23.6598,21.45,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1773428400000|1773831600000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-03-13 15:00,1773428400000,58.07,Flip Short,2026-03-18 07:00,1773831600000,65.81,175,10162.25,25,1332.82,13.1023,1431.84,14.0757,122.16,1.2009,21.68,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1773925200000|1775062800000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-03-19 09:00,1773925200000,56.9,Flip Short,2026-04-01 13:00,1775062800000,58.9,202,11493.8,100,380.61,3.3081,782.37,6.8001,1506.29,13.0922,23.39,2026-07-25T00:19:06.516Z
flip-only|EDC|1h|1778598000000|1779436800000,flip-only,EDC,AMEX:EDC,1h,Swing 1H,LONG,Swing Low,2026-05-12 11:00,1778598000000,83,Flip Short,2026-05-22 04:00,1779436800000,82.6,143,11869,76,-80.88,-0.6808,1042.04,8.7707,1175.89,9.8973,23.68,2026-07-25T00:19:06.516Z
flip-only|LABU|1h|1770228000000|1771430400000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-02-04 13:00,1770228000000,161,Flip Short,2026-02-18 11:00,1771430400000,168.1,62,9982,134,419.8,4.2013,721.62,7.222,913.94,9.1468,20.4,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1772121600000|1773086400000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-02-26 11:00,1772121600000,169.1,Flip Short,2026-03-09 16:00,1773086400000,169,61,10315.1,112,-26.72,-0.2588,293.46,2.8422,1396.24,13.5223,20.62,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1773327600000|1774450800000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-03-12 11:00,1773327600000,151.18,Flip Short,2026-03-25 11:00,1774450800000,156.74,68,10280.24,140,357.14,3.4706,675.16,6.561,1113.92,10.8247,20.94,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1774857600000|1774965600000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-03-30 04:00,1774857600000,138.63,Flip Short,2026-03-31 10:00,1774965600000,162,77,10674.51,22,1776.34,16.6243,1804.22,16.8852,368.72,3.4508,23.15,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1776070800000|1776092400000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-04-13 05:00,1776070800000,168.69,Flip Short,2026-04-13 11:00,1776092400000,180.34,74,12483.06,6,836.27,6.6926,1475.66,11.8095,46.52,0.3723,25.83,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1776956400000|1777903200000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-04-23 11:00,1776956400000,200,Flip Short,2026-05-04 10:00,1777903200000,184.58,66,13200,110,-1043.1,-7.8944,0,0,2422.2,18.3317,25.38,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1778173200000|1779386400000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-05-07 13:00,1778173200000,179.74,Flip Short,2026-05-21 14:00,1779386400000,180.14,68,12222.32,151,2.73,0.0223,1630.66,13.3283,1980.82,16.1904,24.47,2026-07-25T00:19:18.510Z
flip-only|LABU|1h|1780326000000|1781272800000,flip-only,LABU,AMEX:LABU,1h,Swing 1H,LONG,Swing Low,2026-06-01 11:00,1780326000000,176.82,Flip Short,2026-06-12 10:00,1781272800000,180.5,69,12200.58,141,229.26,1.8773,669.52,5.4821,1466.03,12.0041,24.66,2026-07-25T00:19:18.510Z
flip-only|PILL|1h|1760104800000|1760979600000,flip-only,PILL,AMEX:PILL,1h,Swing 1H,LONG,Swing Low,2025-10-10 10:00,1760104800000,8,Flip Short,2025-10-20 13:00,1760979600000,8.47,1244,9952,73,564.19,5.6635,574.73,5.7692,743.91,7.4675,20.49,2026-07-25T00:19:23.800Z
flip-only|PILL|1h|1765900800000|1765900800000,flip-only,PILL,AMEX:PILL,1h,Swing 1H,LONG,Swing Low,2025-12-16 11:00,1765900800000,12.03,Margin call,2025-12-16 11:00,1765900800000,12.03,1,12.03,0,-0.02,-0.1998,0,0,0.01,0.0999,0.02,2026-07-25T00:19:23.800Z
flip-only|PILL|1h|1765900800000|1766426400000,flip-only,PILL,AMEX:PILL,1h,Swing 1H,LONG,Swing Low,2025-12-16 11:00,1765900800000,12.03,Flip Short,2025-12-22 13:00,1766426400000,12.97,877,10550.31,37,802.46,7.5984,813.83,7.7061,361.35,3.4216,21.92,2026-07-25T00:19:23.800Z
